slno,MATH1,MATH2,EM1,EM2,SATS,PS,PRP,SE,M3,M4,S1,S2,SG,SG1,MG1,MG2,EMG1,PS1,,,,,
591,12,30,13,30,27,46,13,31,19,42,23,53,A,A++,A+,A++,A,A+,,,,,
592,11,22,11,27,21,38,14,30,11,47,23,44,C+,A+,B+,A++,B+,A,,,,,
593,19,37,15,34,29,55,15,35,27,62,29,53,A++,O,A++,O,A++,A++,,,,,
594,10,17,11,20,18,28,14,31,15,35,15,27,FF,A,C+,O,B,C,,,,,
595,12,23,12,18,20,36,11,31,10,38,18,28,B,A,B+,A++,C+,C+,,,,,
596,8,11,9,21,12,8,11,29,3,9,15,25,FF,A,FF,A++,FF,C,,,,,
597,10,25,13,25,20,44,12,32,15,38,19,39,B,A+,A,A++,B,B+,,,,,
598,14,35,13,32,27,40,13,33,15,46,25,49,A+,O,A,O,A,A+,,,,,
599,10,8,10,10,14,14,12,31,4,29,18,31,FF,FF,FF,A++,FF,C+,,,,,
600,13,28,12,25,23,38,11,29,7,38,17,33,B+,A+,A,A++,C+,B,,,,,
