slno,MATH1,MATH2,EM1,EM2,SATS,PS,PRP,SE,M3,M4,S1,S2,SG,SG1,MG1,MG2,EMG1,PS1,,,,,
132,14,35,12,30,23,38,13,31,13,52,23,49,A+,A++,A,A++,A,A+,,,,,
133,14,40,14,30,27,41,13,25,17,38,26,53,A+,A++,A,A+,B+,A+,,,,,
134,14,20,14,29,22,32,13,31,19,46,18,39,C+,A++,B,A++,A,B+,,,,,
135,11,30,13,29,24,42,13,31,19,60,24,61,B+,A++,A,A++,A+,A++,,,,,
136,8,24,11,23,15,32,11,25,9,31,15,32,C+,A,C+,A+,C,C+,,,,,
137,12,40,11,23,24,41,13,31,18,59,21,47,A+,A,A,A++,A+,A,,,,,
138,7,10,9,5,12,8,9,23,8,9,17,9,FF,FF,FF,A,FF,FF,,,,,
139,14,26,13,27,24,43,14,34,18,41,24,38,B+,A++,A,O,B+,A,,,,,
140,11,18,10,23,23,32,14,34,9,41,21,37,C,A,B+,O,B,B+,,,,,
141,11,25,12,28,14,20,10,32,3,10,17,23,B,A++,FF,A++,FF,C,,,,,
142,13,24,11,29,21,44,14,34,13,44,20,36,B,A++,A,O,B+,B+,,,,,
143,7,28,10,17,12,32,12,26,0,35,18,11,B,B,C,A+,FF,FF,,,,,
144,9,26,9,16,12,11,9,26,4,30,14,15,B,B,FF,A+,FF,FF,,,,,
145,14,25,11,27,15,44,12,30,7,44,21,33,B+,A+,B+,A++,B,B,,,,,
146,11,29,10,19,21,50,13,30,5,43,20,47,B+,B+,A+,A++,C+,A,,,,,
147,11,23,10,28,17,40,14,31,12,42,17,29,C+,A+,B+,O,B,C+,,,,,
148,12,30,13,30,27,46,13,31,19,42,23,53,A,A++,A+,A++,A,A+,,,,,
149,11,22,11,27,21,38,14,30,11,47,23,44,C+,A+,B+,A++,B+,A,,,,,
150,19,37,15,34,29,55,15,35,27,62,29,53,A++,O,A++,O,A++,A++,,,,,
151,10,17,11,20,18,28,14,31,15,35,15,27,FF,A,C+,O,B,C,,,,,
152,12,23,12,18,20,36,11,31,10,38,18,28,B,A,B+,A++,C+,C+,,,,,
